region,weather_year,annual_demand_mwh
p90,2008,61681093.0
p90,2009,61678554.0
p90,2010,61795708.0
p90,2011,61680666.0
p90,2012,61593063.0
p90,2013,61672846.0
p91,2007,18192948.0
p91,2008,18156592.0
p91,2009,18167543.0
p91,2010,18069698.0
p91,2011,18196347.0
p91,2012,18193809.0
p91,2013,18189737.0
p92,2007,156837382.0
p92,2008,157028469.0
p92,2009,156889097.0
p92,2010,157761034.0
p92,2011,156829037.0
p92,2012,156218810.0
p92,2013,156990831.0
p93,2007,18850188.0
p93,2008,18881264.0
p93,2009,18857278.0
p93,2010,18917107.0
p93,2011,18837109.0
p93,2012,18779214.0
p93,2013,18874214.0
p94,2007,238971308.0
p94,2008,239274939.0
p94,2009,239318032.0
p94,2010,240775375.0
p94,2011,239139090.0
p94,2012,238098120.0
p94,2013,239005885.0
p95,2007,42288996.0
p95,2008,42301594.0
p95,2009,42332069.0
p95,2010,42498780.0
p95,2011,42324922.0
p95,2012,42206969.0
p95,2013,42286062.0
p96,2007,80498504.0
p96,2008,80520209.0
p96,2009,80572440.0
p96,2010,80857933.0
p96,2011,80559982.0
p96,2012,80357911.0
p96,2013,80493437.0
p97,2007,107242301.0
p97,2008,107232708.0
p97,2009,107320412.0
p97,2010,107716473.0
p97,2011,107250885.0
p97,2012,106989548.0
p97,2013,107297204.0
p98,2007,104297197.0
p98,2008,104287087.0
p98,2009,104379525.0
p98,2010,104796264.0
p98,2011,104306259.0
p98,2012,104031123.0
p98,2013,104355053.0
p99,2007,239648206.0
p99,2008,239410173.0
p99,2009,239609978.0
p99,2010,240099493.0
p99,2011,239453010.0
p99,2012,239100581.0
p99,2013,239564454.0
