substation_id,CBSAFP,POPESTIMATE2019,rb,region,IPM_Region
149128,27180,178644.0,p92,p92,p92
143619,35620_p126,6585382.235587343,p126,p126,p126
112389,48900,297533.0,p98,p98,p98
152640,25860,369711.0,p97,p97,p97
206308,41100,177556.0,p25,p25,p25
149954,10700,96774.0,p89,p89,p89
201519,18780,13283.0,p33,p33,p33
112390,48900,297533.0,p98,p98,p98
120772,12260,608980.0,p96,p96,p96
157007,22520,147970.0,p89,p89,p89
132925,13900,128949.0,p36,p36,p36
201308,34300,27511.0,p15,p15,p15
147911,44300,162385.0,p119,p119,p119
130442,44740,19620.0,p45,p45,p45
111913,10500,146726.0,p94,p94,p94
148636,18100,33470.0,p40,p40,p40
115616,32820,1346045.0,p92,p92,p92
154061,27260,1559514.0,p101,p101,p101
205122,19740,2967239.0,p33,p33,p33
301541,31080,13214799.0,p10,p10,p10
127790,27540,55125.0,p107,p107,p107
146331,40060,1291900.0,p99,p99,p99
151254,29180,489207.0,p58,p58,p58
131649,36540,949442.0,p41,p41,p41
